Servername,type,CPU,IO,Storage,Memory,CPU_base,IO_base,Storage_base,Memory_base,CPU_thresh,IO_thresh,Storage_thresh,Memory_thresh,criticality,region,timestamp
SYB_REP_APAC_1,Sybase repserver,11.06,32.87,89.56,62.75,7.79,25.13,65.02,48.91,13.91,38.32,113.29,80.22,High,APAC,2025-08-04 15:26:14
PG_CH_2,Postgresql,22.17,46.6,68.14,40.61,19.05,38.72,59.47,35.73,27.16,55.07,82.94,48.48,High,CH,2025-08-04 15:26:14
SYB_APAC_3,Sybase ASE,65.44,22.32,84.01,55.98,52.05,15.92,67.59,40.97,77.37,27.47,108.05,69.93,High,APAC,2025-08-04 15:26:14
PG_AMER_4,Postgresql,37.51,24.01,65.14,59.4,33.73,18.4,49.8,52.63,42.52,30.64,78.91,68.59,High,AMER,2025-08-04 15:26:14
ORA_RAC_AMER_5,Oracle RAC,25.12,29.02,28.02,67.11,18.7,26.09,21.84,47.94,29.22,35.41,32.43,79.03,Medium,AMER,2025-08-04 15:26:14
SYB_REP_APAC_6,Sybase repserver,24.77,76.25,57.1,63.68,18.86,62.03,46.9,45.3,29.58,84.34,65.82,75.21,Low,APAC,2025-08-04 15:26:14
MONGO_CH_7,MongoDB,75.94,11.19,37.35,24.43,65.94,8.42,30.87,17.71,96.19,14.05,48.11,31.21,Medium,CH,2025-08-04 15:26:14
PG_CH_8,Postgresql,73.09,24.62,46.4,69.57,62.47,20.58,41.49,50.6,87.28,30.09,53.47,87.26,Low,CH,2025-08-04 15:26:14
PG_CH_9,Postgresql,50.15,6.98,55.93,78.26,43.64,5.2,40.28,61.24,63.07,7.81,68.55,96.66,High,CH,2025-08-04 15:26:14
SYB_APAC_10,Sybase ASE,41.35,73.85,84.53,52.34,29.44,58.83,74.55,43.29,48.93,92.0,103.63,66.67,Low,APAC,2025-08-04 15:26:14
ORA_APAC_11,Oracle database server,78.35,76.04,66.52,84.68,59.03,60.4,57.4,72.79,94.21,98.34,81.41,94.81,Low,APAC,2025-08-04 15:26:14
SYB_IQ_CH_12,Sybase IQ,83.31,47.51,49.55,49.39,65.85,42.06,36.4,35.4,105.95,56.3,59.87,58.17,High,CH,2025-08-04 15:26:14
ORA_EMEA_13,Oracle database server,41.52,7.38,85.78,59.53,35.13,5.92,71.77,47.25,52.26,8.54,105.98,68.97,Medium,EMEA,2025-08-04 15:26:14
SYB_REP_EMEA_14,Sybase repserver,54.36,30.72,31.92,37.33,45.4,23.5,24.11,28.04,68.85,35.8,38.96,48.44,Low,EMEA,2025-08-04 15:26:14
PG_CH_15,Postgresql,32.79,15.07,89.72,54.29,24.1,12.69,74.03,40.41,38.46,17.46,114.43,69.24,Medium,CH,2025-08-04 15:26:14
SYB_IQ_APAC_16,Sybase IQ,39.46,51.4,29.67,58.06,28.97,36.94,22.84,47.12,44.97,65.88,35.6,71.63,High,APAC,2025-08-04 15:26:14
SYB_REP_AMER_17,Sybase repserver,64.97,50.43,58.32,41.04,50.66,43.26,45.8,34.53,81.99,61.25,74.1,50.66,High,AMER,2025-08-04 15:26:14
MONGO_APAC_18,MongoDB,82.35,9.56,29.88,37.26,64.47,8.48,23.07,27.83,106.1,11.75,34.14,44.34,Medium,APAC,2025-08-04 15:26:14
ORA_RAC_EMEA_19,Oracle RAC,11.29,61.19,94.86,16.29,8.95,44.27,79.73,13.33,12.56,74.2,111.17,18.69,Low,EMEA,2025-08-04 15:26:14
SYB_REP_EMEA_20,Sybase repserver,30.23,39.86,60.53,27.09,21.36,34.82,43.16,21.3,33.67,48.33,71.65,32.64,Low,EMEA,2025-08-04 15:26:14
PG_APAC_21,Postgresql,72.45,76.7,26.22,21.59,53.07,66.76,18.63,18.8,92.17,88.8,32.87,24.21,Medium,APAC,2025-08-04 15:26:14
SYB_APAC_22,Sybase ASE,85.37,71.03,94.48,41.58,68.06,58.55,69.29,33.67,99.73,83.34,110.89,48.42,Low,APAC,2025-08-04 15:26:14
SYB_REP_CH_23,Sybase repserver,23.69,14.78,30.31,31.05,17.81,11.13,22.81,25.44,27.35,18.16,37.08,35.96,High,CH,2025-08-04 15:26:14
PG_EMEA_24,Postgresql,27.29,37.02,36.69,45.76,24.5,31.06,25.79,32.75,31.16,47.91,44.97,53.73,Low,EMEA,2025-08-04 15:26:14
SYB_AMER_25,Sybase ASE,47.74,74.43,33.84,30.34,41.03,66.35,24.55,24.82,60.34,96.58,40.21,38.21,Medium,AMER,2025-08-04 15:26:14
SQL_CH_26,Ms SQL server,58.93,16.09,60.77,35.71,42.8,13.41,51.12,29.35,75.74,18.66,74.83,43.19,High,CH,2025-08-04 15:26:14
SYB_CH_27,Sybase ASE,21.21,21.08,20.44,76.57,15.57,18.11,17.67,57.74,24.64,25.15,24.96,95.82,Medium,CH,2025-08-04 15:26:14
